🎬央视高清,#genre#
止戈电影,https://epg.112114.xyz/huya/19863777
S哥影视,https://epg.112114.xyz/huya/24720260
辟哥影视,https://epg.112114.xyz/huya/27653235
【鬼片】虎牙陪看,https://epg.112114.xyz/huya/19383295




🎬音乐频道,#genre#
otpaha,http://live.stranafm.cdnvideo.ru/stranafm/stranafm_hd.sdp/chunklist.m3u8

🎬动画频道,#genre#
老P仔动漫,https://epg.112114.xyz/huya/26510802
杰克动漫,https://epg.112114.xyz/huya/19757963
PP看动漫,https://epg.112114.xyz/douyu/9837291
开心锤锤动漫,https://epg.112114.xyz/douyu/9018297
圈踢动漫,https://epg.112114.xyz/douyu/1952680
老王陪你看动漫,https://epg.112114.xyz/douyu/6332732
老王陪你看动漫,https://epg.112114.xyz/douyu/6332732
皮皮动漫星球,https://epg.112114.xyz/douyu/8841920
苏家动漫,https://epg.112114.xyz/douyu/9569905
苏家动漫,https://epg.112114.xyz/douyu/9569905
米粒儿动漫,https://epg.112114.xyz/douyu/9445279
小陶气说动漫,https://epg.112114.xyz/douyu/9527700


🎬体育频道,#genre#
NBA TV（备）,http://84.22.33.214:80/nbatv/index.m3u8
CCTV16 4K,http://39.135.41.243/PLTV/88888888/224/3221226716/index.m3u8
CCTV-5+ 体育赛事 高清,http://39.135.187.130/0000000000001001/1/index.m3u8?Contentid=1000000001000020505&livemode=1&stbId=2&channel-id=ystenlive
CCTV-5体育,http://39.135.138.60:18890/TVOD/88888910/224/3221225633/index.m3u8
咪咕视频 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
山东体育,http://222.175.202.90:9901/tsfile/live/1005_1.m3u8
山东体育,http://39.136.48.21:8089/PLTV/88888888/224/3221226075/index.m3u8
精彩体育 ,http://39.134.19.252:6610/yinhe/2/ch00000090990000001274/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
NewTV精品体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225709/index.m3u8
NewTV超级体育,http://39.135.138.60:18890/PLTV/88888910/224/3221225648/index.m3u8
iHOT爱体育,http://39.134.30.217/0000000000001000/1.m3u8?Contentid=6000000006000290630&livemode=1&stbId=3&channel-id=wasusyt
五星体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
劲爆体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/4000000/mnf.m3u8
劲爆体育,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jbtyhd/2300000/mnf.m3u8
魅力足球,http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8
浙江·杭州体育 FHD,http://hms363nc1880172761.live.aikan.miguvideo.com/wh7f454c46tw2880854862_-704780469/PLTV/88888888/224/3221229316/index.m3u8
MIGU24小时体育,http://117.148.179.172/PLTV/88888888/224/3221231778/index.m3u8
百视通电竞,http://39.135.55.105:6610/PLTV/88888888/224/3221227033/index.m3u8?servicetype=1


ELEVEN体育一台,rtmp://59.124.75.138/sat/tv731
ELEVEN体育二台,rtmp://59.124.75.138/sat/tv741
ELEVEN体育二台,rtmp://59.124.75.157/sat/tv741
ELEVEN体育二台,rtmp://59.124.75.157/sat/md041
Captital OTB Betting,https://d2up1hmow19bcd.cloudfront.net/livecf/liveracing/playlist.m3u8
Dubai Racing 2,http://dmithrvll.cdn.mangomolo.com/dubairacing/smil:dubairacing.smil/chunklist_b1600000.m3u8
ufc 3[1280*720],https://live-k2302-kbp.1plus1.video/sport/smil:sport.smil/chunklist_b6000000.m3u8
sports[1280*720],https://5cf4a2c2512a2.streamlock.net/dgrau/dgrau/chunklist.m3u8

🎬NewTV频道,#genre#
NewTV中国功夫 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8
NewTV军事评论 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV军旅剧场 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV农业致富 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV动画王国 (1080p) [Timeout],http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225555/index.m3u8
NewTV古装剧场 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV完美遊戲 (1080p),http://183.207.249.16/PLTV/3/224/3221225539/index.m3u8
NewTV家庭剧场 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV怡伴健康 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
NewTV明星大片 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
NewTV武搏世界 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8
NewTV潮妈辣婆 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV炫舞未来 (1080p,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV爱情喜剧 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV精品体育 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV精品大剧 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品電影 (1080p),http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
NewTV超级体育 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级电影 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级电影 (1080p),http://39.134.115.163:8080/PLTV/88888910/224/3221225623/index.m3u8
NewTV超级电视剧 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级综艺 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV金牌综艺 (1080p),http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8

🎬测试频道,#genre#

林正英,http://zzy789.xyz/douyu1.php?id=218859
斗鱼12,http://zzy789.xyz/douyu1.php?id=9650887
斗鱼13,http://zzy789.xyz/douyu1.php?id=2516864
斗鱼14,http://zzy789.xyz/douyu1.php?id=252802
斗鱼15,http://zzy789.xyz/douyu1.php?id=20415
斗鱼16,http://zzy789.xyz/douyu1.php?id=8985415
斗鱼17,http://zzy789.xyz/douyu1.php?id=4332
斗鱼18,http://zzy789.xyz/douyu1.php?id=9641152
斗鱼19,http://zzy789.xyz/douyu1.php?id=6655271
斗鱼20,http://zzy789.xyz/douyu1.php?id=8912038
斗鱼21,http://zzy789.xyz/douyu1.php?id=10240539
斗鱼22,http://zzy789.xyz/douyu1.php?id=7305938
斗鱼23,http://zzy789.xyz/douyu1.php?id=8814650
斗鱼24,http://zzy789.xyz/douyu1.php?id=9275635
斗鱼25,http://zzy789.xyz/douyu1.php?id=434971
斗鱼26,http://zzy789.xyz/douyu1.php?id=6140589
斗鱼27,http://zzy789.xyz/douyu1.php?id=1504768
斗鱼28,http://zzy789.xyz/douyu1.php?id=52787
斗鱼29,http://zzy789.xyz/douyu1.php?id=5403257
斗鱼30,http://zzy789.xyz/douyu1.php?id=10395937
斗鱼31,http://zzy789.xyz/douyu1.php?id=7925840
斗鱼32,http://zzy789.xyz/douyu1.php?id=1735337
斗鱼33,http://zzy789.xyz/douyu1.php?id=310926
斗鱼34,http://zzy789.xyz/douyu1.php?id=1377142
斗鱼35,http://zzy789.xyz/douyu1.php?id=9292492
斗鱼36,http://zzy789.xyz/douyu1.php?id=1174353
斗鱼37,http://zzy789.xyz/douyu1.php?id=248753
斗鱼38,http://zzy789.xyz/douyu1.php?id=5581257
斗鱼39,http://zzy789.xyz/douyu1.php?id=2793084
斗鱼40,http://zzy789.xyz/douyu1.php?id=6537888
斗鱼41,http://zzy789.xyz/douyu1.php?id=7882691
斗鱼42,http://zzy789.xyz/douyu1.php?id=7190773
斗鱼43,http://dyscdnali1.douyucdn.cn/live/206858rtesHKjl.flv

🎬NSFW,#genre#

🎬原力频道,#genre#
Channel V,p5p://fccs.123178.top:9906/6163e81300020e350da08bfaf7a3c756.ts
中天综合台,p5p://fccs.123178.top:9906/61494cc7000ea4840d6ccafbef48fe11.ts
中天亚洲,p5p://fccs.123178.top:9906/60449a27000cf419020d0e24d4fdafd9.ts
中天新闻,p5p://fccs.123178.top:9906/6174fe8b000be03302ae798f40145c4c.ts
中视新闻,p5p://fccs.123178.top:9906/615ceea900061b6e0c5469c546672e4d.ts
中视精彩,p5p://fccs.123178.top:9906/615cef2b000a183f0c56669a25583e1d.ts
中视经典台,p5p://fccs.123178.top:9906/615ceee60007b48e0c555876520737b3.ts
中视 HD,p5p://fccs.123178.top:9906/615cee84000470af0c53d8d0e6dede6c.ts
原民台,p5p://fccs.123178.top:9906/615cf0df00077fe20c5d0d102000e0a2.ts
有线娱乐台,p5p://fccs.123178.top:9906/615cf4490001e8c00c6a61b288746e22.ts
有线新闻,p5p://fccs.123178.top:9906/60ed1721000502290f99063cfc1e9344.ts
有线财经台,p5p://fccs.123178.top:9906/615cf3de000200420c68bfc0bce964e3.ts
有线603高清,p5p://fccs.123178.top:9906/60ed1cd4000297a20faf48d5542663e4.ts
有线18台,p5p://fccs.123178.top:9906/615cf3b20004e4390c68149d25db8dc8.ts
影迷数位纪实台,p5p://fccs.123178.top:9906/60494398000c2ccb1442ef592de01971.ts
影迷数字电影台,p5p://fccs.123178.top:9906/61a3a50e000236dc039317acd57d46a4.ts
壹新闻,p5p://fccs.123178.top:9906/61494a29000d70560d62917d35be0fae.ts
壹电影HD,p5p://fccs.123178.top:9906/60434a87000b209606cdef9cee9a8dfe.ts
